"","no","comments","likes","date","caption","time","Sentiment_Score","Time","Popularity_Score","animal_score"
"1",1,2862,199440,"2015-11-13 12:58:49","   I photographed these elephants and mahouts at a rescue sanctuary in Chiang Mai, Thailand. The mahouts dedicate their lives to caring for a specific elephant, and spend their days and nights caring for all the elephant's needs.",1447448329,1,"PM",342540,1
"2",2,995,102282,"2015-11-13 09:45:33"," Martin: “Do you live on the street?”David: “I've been living on the street for five years, going on six.”M: “Anyone who saw you walking down the street would never know. How do you keep that shirt so clean?”D: “I learn how to keep it clean. You gotta adapt to your environment…take time to respect yourself if you want respect from others.”M: “You go to job interviews?”D: “I've had jobs.”M: “What kind of jobs have you had?”D: “I had a job right here in landscaping.” M: “You like landscaping?”D: “Yeah, it's fun. I know a lot about it. It's what I've been doing my whole life besides laying brick and reconstructing houses.”M: “How did you end up living on the streets? What happened?”D: “I was a foster kid for a couple years. The last couple of years of childhood. So when I got out I had a scholarship to go to college and I took advantage of the scholarship but in the middle of nowhere in Arizona I didn't have anywhere to go for summer break so I ended up moving out here, getting a job…It took me three years to get back into school at [college – name withheld]. I’m on scholarship too.”M: “Do your other classmates know you live on the streets?”D: “I had a classmate that…We got to know each other and he kinda figured. But I don't try to… I don't like that being exposed.”M: “Do you know of any other students living on the streets, going to college?”D: “My age that are full time? No.”M: “Are you sure you're okay having your picture out there?”D: “Don't worry about it.”M: “Really?”D: “Don't put it on there, yeah.” .The Greater West Hollywood Food Coalition  helps people like David get back on their feet. Want to help make a difference? For details and more portraits follow me: .",1447436733,13,"AM",152032,0
"3",3,946,243703,"2015-11-13 08:46:16","  / The arrival of sea ice ends the isolation of island villages like Saattut, home to 200 people and 500 sled dogs. Freed from boats or costly air travel, residents take to sleds and snowmobiles for hunting trips and visits to relatives. No roads connect towns in Greenland, even on the mainland.Published in National Geographic Magazine as part of the Melting away story in the November - climate change special  issue. Please follow  to see more images and stories from Northern Greenland. climatechange melting seaice Greenland Inuits nature",1447433176,0,"AM",291003,0
"4",4,612,129702,"2015-11-13 08:03:59","Participate in the Nolathread project! Post a photo of someone that makes your own hometown special and tag NolaThread and  in the caption so I can see it. I will repost my favorite on  tomorrow. Soundportrait by  | Listen to the words of young Michael Tenner, 11, a Spyboy with Comanche Hunters Mardi Gras Indians in NewOrleans I started the Nolathread project in the LowerNinthWard and asked the first subject to chose the next- that person sent me to the next, and so on. Follow this thread of the cultural fabric of my hometown today on    and . All of the soundportraits are composite “stitch” photos and are featured on the  website- link in  bio. The next Nolathread soundportrait will be on  in one hour.",1447430639,1,"AM",160302,0
"5",5,1394,355701,"2015-11-13 07:09:07"," A Blacktip Reef Shark swims through the surf zone on uninhabited Millennium Atoll in the Central South Pacific.Diving these unspoiled reefs is like traveling back in time.Photographed on assignment for  for a about the Southern Line Islands; a remote and amazing series of coral reef ecosystems. pristineseas sharks coralreefs pacific nature picoftheday",1447427347,2,"AM",425401,1
"6",6,1735,299755,"2015-11-13 06:16:31","This wk in 1954 Ellis Island officially closed. The deserted sections of the island remain wonderfully eerie-echoes of the hope and heartbreak of the place. ",1447424191,1,"AM",386505,0
"7",7,1198,327520,"2015-11-13 05:49:03","Photograph by  Bowhead whales occasionally do a behavior called “rocknosing” where they put their noses on the bottom of the ocean floor and do a head stand.  No one knows why they do this but I have never seen it with any other cetacean species.  They will hang their tails high in the air for several minutes at a time.  Bowhead whales get their name from their bow shaped heads and mouths.  To see a photograph of a 50 foot long bowhead whale underwater when it approached to within two feet of me, please followme on .  With  and  whale bowheadwhale cool climatechange 202020 wildlife gratitude explore nature smile love beauty adventure travel   instagood tbt follow followme photooftheday happy tagforlikes beautiful like picoftheday summer fun friends",1447422543,8,"AM",387420,0
"8",8,5870,436116,"2015-11-13 04:41:08"," I photographed this Patagonian fox (or South American gray fox), in Torres del Paine National Park, Chile during a  assignment. This particular individual turned out to be a good model; beautiful, quite easily habituated and curious. That can not be said about all animals we're after as  photographers.  Torres del Paine National Park is really amazingly beautiful and has become one of my favorites in South America. Go to  to see Grey glacial lake in the park (where I fell into the icy water right after taking the picture now posted on my flow! torresdelpaine grayfox chile wwf protectbiodiversity conservation patagonia    ",1447418468,3,"AM",729616,1
"9",9,1976,286978,"2015-11-12 22:46:54","Cuban DJ's of Electronica Music say goodbye to their friends in the city of Holguin, Cuba, before driving back to Havana. Follow  for more.",1447397214,0,"PM",385778,0
"10",10,516,300309,"2015-11-12 21:09:38"," August 2009. The west branch of the Columbia Glacier, pouring out of the heart of the Chugach Mountains of Alaska. The glacier dynamics here are wildly interesting and extremely dramatic. In the last 3 years alone, the west branch has retreated approximately 3 miles! Over the course of 30 years, the main branch of the glacier has deflated over 1,000 feet and retreated over 10 miles. I’ve posted the 2015 repeat image of the frame above on my account . You may also see this repeat featured on the National Geographic Photo Blog. The change is unbelievable. ExtremeIceSurvey Ice ClimateChange Anthropocene ArtPlusScience TBT Alaska Proof",1447391378,-1,"PM",326109,0
